match_id,match_date,home_team_id,home_team,away_team_id,away_team,home_team_goal,away_team_goal,attendance,referee,referee_id,season,category,winner_team_id
20230217t007t002,20230217,t007,川崎フロンターレ,t002,横浜Ｆ・マリノス,1,2,"観客:22,563",山本 雄大,r010,2023,1,t002
20230218t014t013,20230218,t014,ＦＣ東京,t013,浦和レッズ,2,0,"観客:38,051",笠原 寛貴,r022,2023,1,t014
20230218t004t017,20230218,t004,横浜ＦＣ,t017,名古屋グランパス,0,1,"観客:11,186",池内 明彦,r014,2023,1,t017
20230218t015t018,20230218,t015,京都サンガF.C.,t018,鹿島アントラーズ,0,2,"観客:15,988",谷本 涼,r015,2023,1,t018
20230218t011t012,20230218,t011,セレッソ大阪,t012,アルビレックス新潟,2,2,"観客:17,928",西村 雄一,r037,2023,1,draw
20230218t003t006,20230218,t003,ヴィッセル神戸,t006,アビスパ福岡,1,0,"観客:18,981",今村 義朗,r019,2023,1,t003
20230218t020t021,20230218,t020,サンフレッチェ広島,t021,北海道コンサドーレ札幌,0,0,"観客:13,121",御厨 貴文,r005,2023,1,draw
20230218t016t001,20230218,t016,柏レイソル,t001,ガンバ大阪,2,2,"観客:12,334",小屋 幸栄,r006,2023,1,draw
20230218t032t008,20230218,t032,サガン鳥栖,t008,湘南ベルマーレ,1,5,"観客:9,663",上田 益也,r008,2023,1,t008
20230224t008t004,20230224,t008,湘南ベルマーレ,t004,横浜ＦＣ,2,2,"観客:10,006",清水 勇人,r020,2023,1,draw
20230225t002t013,20230225,t002,横浜Ｆ・マリノス,t013,浦和レッズ,2,0,"観客:34,035",池内 明彦,r014,2023,1,t002
20230225t021t003,20230225,t021,北海道コンサドーレ札幌,t003,ヴィッセル神戸,1,3,"観客:17,078",小屋 幸栄,r006,2023,1,t003
20230225t001t032,20230225,t001,ガンバ大阪,t032,サガン鳥栖,1,1,"観客:25,865",福島 孝一郎,r002,2023,1,draw
20230225t006t011,20230225,t006,アビスパ福岡,t011,セレッソ大阪,2,1,"観客:9,607",中村 太,r009,2023,1,t006
20230225t018t007,20230225,t018,鹿島アントラーズ,t007,川崎フロンターレ,1,2,"観客:28,608",西村 雄一,r037,2023,1,t007
20230225t017t015,20230225,t017,名古屋グランパス,t015,京都サンガF.C.,1,0,"観客:21,327",今村 義朗,r019,2023,1,t017
20230226t020t012,20230226,t020,サンフレッチェ広島,t012,アルビレックス新潟,1,2,"観客:13,266",岡部 拓人,r011,2023,1,t012
20230226t016t014,20230226,t016,柏レイソル,t014,ＦＣ東京,1,1,"観客:12,833",山本 雄大,r010,2023,1,draw
20230303t002t020,20230303,t002,横浜Ｆ・マリノス,t020,サンフレッチェ広島,1,1,"観客:10,854",中村 太,r009,2023,1,draw
20230304t007t008,20230304,t007,川崎フロンターレ,t008,湘南ベルマーレ,1,1,"観客:21,171",荒木 友輔,r003,2023,1,draw
20230304t012t021,20230304,t012,アルビレックス新潟,t021,北海道コンサドーレ札幌,2,2,"観客:25,468",池内 明彦,r014,2023,1,draw
